"","x"
"254","US"
"255","US"
"256","US"
"257","US"
"258","US"
"259","US"
"260","US"
"261","US"
"262","US"
"263","US"
"264","US"
"265","US"
"266","US"
"267","US"
"268","US"
"269","US"
"270","US"
"271","US"
"272","US"
"273","US"
"274","US"
"275","US"
"276","US"
"277","US"
"278","US"
"279","US"
"280","US"
"281","US"
"282","US"
"283","US"
"284","US"
"285","US"
"286","US"
"287","US"
"288","US"
"289","US"
"290","US"
"291","US"
"292","US"
"293","US"
"294","US"
"295","US"
"296","US"
"297","US"
"298","US"
"299","US"
"300","US"
"301","US"
"302","US"
"303","US"
"304","US"
"305","US"
"306","US"
"307","US"
"308","US"
"309","US"
"310","US"
"311","US"
"312","US"
"313","US"
"314","US"
"315","US"
"316","US"
"317","US"
"318","US"
"319","US"
"320","US"
"321","US"
"322","US"
"323","US"
"324","US"
"325","US"
"326","US"
"327","US"
"328","US"
"329","US"
"330","US"
"331","US"
"332","US"
"333","US"
"334","US"
"335","US"
"336","US"
"337","US"
"338","US"
"339","US"
"340","US"
"341","US"
"342","US"
"343","US"
"344","US"
"345","US"
"346","US"
"347","US"
"348","US"
"349","US"
"350","US"
"351","US"
"352","US"
"353","US"
"354","US"
"355","US"
"356","US"
"357","US"
"358","US"
"359","US"
"360","US"
"361","US"
"362","US"
"363","US"
"364","US"
"365","US"
"366","US"
"367","US"
"368","US"
"369","US"
"370","US"
"371","US"
"372","US"
"373","US"
"374","US"
"375","US"
"376","US"
"377","US"
"378","US"
"379","US"
"380","US"
"381","US"
"382","US"
"383","US"
"384","US"
"385","US"
"386","US"
"387","US"
"388","US"
"389","US"
"390","US"
"391","US"
"392","US"
"393","US"
"394","US"
"395","US"
"396","US"
"397","US"
"398","US"
"399","US"
"400","US"
"401","US"
"402","US"
"403","US"
"404","US"
"405","US"
"406","US"
"407","US"
"408","US"
"409","US"
"410","US"
"411","US"
"412","US"
"413","US"
"414","US"
"415","US"
"416","US"
"417","US"
"418","US"
"419","US"
"420","US"
"421","US"
"422","US"
"423","US"
"424","US"
"425","US"
"426","US"
"427","US"
"428","US"
"429","US"
"430","US"
"431","US"
"432","US"
"433","US"
"434","US"
"435","US"
"436","US"
"437","US"
"438","US"
"439","US"
"440","US"
"441","US"
"442","US"
"443","US"
"444","US"
"445","US"
"446","US"
"447","US"
"448","US"
"449","US"
"450","US"
"451","US"
"452","US"
"453","US"
"454","US"
"455","US"
"456","US"
"457","US"
"458","US"
"459","US"
"460","US"
"461","US"
"462","US"
"463","US"
"464","US"
"465","US"
"466","US"
"467","US"
"468","US"
"469","US"
"470","US"
"471","US"
"472","US"
"473","US"
"474","US"
"475","US"
"476","US"
"477","US"
"478","US"
"479","US"
"480","US"
"481","US"
"482","US"
"483","US"
"484","US"
"485","US"
"486","US"
"487","US"
"488","US"
"489","US"
"490","US"
"491","US"
"492","US"
"493","US"
"494","US"
"495","US"
"496","US"
"497","US"
"498","US"
"499","US"
"500","US"
"501","US"
"502","US"
"503","US"
"504","US"
"505","US"
"506","US"
"507","US"
"508","US"
"509","US"
"510","US"
"511","US"
"512","US"
"513","US"
"514","US"
"515","US"
"516","US"
"517","US"
"518","US"
"519","US"
"520","US"
"521","US"
"522","US"
"523","US"
"524","US"
"525","US"
"526","US"
"527","US"
"528","US"
"529","US"
"530","US"
"531","IT"
"532","US"
"533","US"
"534","US"
"535","US"
"536","US"
"537","US"
"538","US"
"539","US"
"540","US"
"541","US"
"542","US"
"543","US"
"544","US"
"545","US"
"546","US"
"547","US"
"548","US"
"549","US"
"550","US"
"551","US"
"552","US"
"553","US"
"554","US"
"555","US"
"556","US"
"557","US"
"558","US"
"559","US"
"560","US"
"561","US"
"562","US"
"563","US"
"564","US"
"565","US"
"566","US"
"567","US"
"568","US"
"569","US"
"570","US"
"571","US"
"572","US"
"573","US"
"574","US"
"575","US"
"576","US"
"577","US"
"578","US"
"579","US"
"580","US"
"581","US"
"582","US"
"583","US"
"584","US"
"585","US"
"586","US"
"587","US"
"588","US"
"589","US"
"590","US"
"591","US"
"592","US"
"593","US"
"594","US"
"595","US"
"596","US"
"597","US"
"598","US"
"599","US"
"600","US"
"601","US"
"602","US"
"603","US"
"604","US"
"605","US"
"606","US"
"607","US"
"608","US"
"609","US"
"610","US"
"611","US"
"612","US"
"613","US"
"614","US"
"615","US"
"616","US"
"617","US"
"618","US"
"619","US"
"620","US"
"621","US"
"622","US"
"623","US"
"624","US"
"625","US"
"626","US"
"627","US"
"628","US"
"629","US"
"630","US"
"631","US"
"632","US"
"633","US"
"634","US"
"635","US"
"636","US"
"637","US"
"638","US"
"639","US"
"640","US"
"641","US"
"642","US"
"643","US"
"644","US"
"645","US"
"646","US"
"647","US"
"648","US"
"649","US"
"650","US"
"651","US"
"652","US"
"653","US"
"654","US"
"655","US"
"656","US"
"657","US"
"658","US"
"659","US"
"660","US"
"661","US"
"662","US"
"663","US"
"664","US"
"665","US"
"666","US"
"667","US"
"668","US"
"669","US"
"670","US"
"671","US"
"672","US"
"673","US"
"674","US"
"675","US"
"676","US"
"677","US"
"678","US"
"679","US"
"680","US"
"681","US"
"682","US"
"683","US"
"684","US"
"685","US"
"686","US"
"687","US"
"688","US"
"689","US"
"690","US"
"691","US"
"692","US"
"693","US"
"694","US"
"695","US"
"696","US"
"697","US"
"698","US"
"699","US"
"700","US"
"701","US"
"702","US"
"703","US"
"704","US"
"705","US"
"706","US"
"707","US"
"708","US"
"709","US"
"710","US"
"711","US"
"712","US"
"713","US"
"714","US"
"715","US"
"716","US"
"717","US"
"718","US"
"719","US"
"720","US"
"721","US"
"722","US"
"723","US"
"724","US"
"725","US"
"726","US"
"727","US"
"728","US"
"729","US"
"730","US"
"731","US"
"732","US"
"733","US"
"734","US"
"735","US"
"736","US"
"737","US"
"738","US"
"739","US"
"740","US"
"741","US"
"742","US"
"743","US"
"744","US"
"745","US"
"746","US"
"747","US"
"748","US"
"749","US"
"750","US"
"751","US"
"752","US"
"753","US"
"754","US"
"755","US"
"756","US"
"757","US"
"758","US"
"759","US"
"760","US"
"761","US"
"762","US"
"763","US"
"764","US"
"765","US"
"766","US"
"767","US"
"768","US"
"769","US"
"770","US"
"771","US"
"772","US"
"773","US"
"774","US"
"775","US"
"776","US"
"777","US"
"778","US"
"779","US"
"780","US"
"781","US"
"782","US"
"783","US"
"784","US"
"785","US"
"786","US"
"787","US"
"788","US"
"789","US"
"790","US"
"791","US"
"792","US"
"793","US"
"794","US"
"795","US"
"796","US"
"797","US"
"798","US"
"799","US"
"800","US"
"801","US"
"802","US"
"803","US"
"804","US"
"805","US"
"806","US"
"807","US"
"808","US"
"809","US"
"810","US"
"811","US"
"812","US"
"813","US"
"814","US"
"815","US"
"816","US"
"817","US"
"818","US"
"819","US"
"820","US"
"821","US"
"822","US"
"823","US"
"824","US"
"825","US"
"826","US"
"827","US"
"828","US"
"829","US"
"830","US"
"831","US"
"832","US"
"833","US"
"834","US"
"835","US"
"836","US"
"837","US"
"838","US"
"839","US"
"840","US"
"841","US"
"842","US"
"843","US"
"844","US"
"845","US"
"846","US"
"847","US"
"848","US"
"849","US"
"850","US"
"851","US"
"852","US"
"853","US"
"854","US"
"855","US"
"856","US"
"857","US"
"858","US"
"859","US"
"860","US"
"861","US"
"862","US"
"863","US"
"864","US"
"865","US"
"866","US"
"867","US"
"868","US"
"869","US"
"870","US"
"871","US"
"872","US"
"873","US"
"874","US"
"875","US"
"876","US"
"877","US"
"878","US"
"879","US"
"880","US"
"881","US"
"882","US"
"883","US"
"884","US"
"885","US"
"886","US"
"887","US"
"888","US"
"889","US"
"890","US"
"891","US"
"892","US"
"893","US"
"894","US"
"895","US"
"896","US"
"897","US"
"898","US"
"899","US"
"900","US"
"901","US"
"902","US"
"903","US"
"904","US"
"905","US"
"906","US"
"907","US"
"908","US"
"909","US"
"910","US"
"911","US"
"912","US"
"913","US"
"914","US"
"915","US"
"916","US"
"917","US"
"918","US"
"919","US"
"920","US"
"921","US"
"922","US"
"923","US"
"924","US"
"925","US"
"926","US"
"927","US"
"928","US"
"929","US"
"930","US"
"931","US"
"932","US"
"933","US"
"934","US"
"935","US"
"936","US"
"937","US"
"938","US"
"939","US"
"940","US"
"941","US"
"942","US"
"943","US"
"944","US"
"945","US"
"946","US"
"947","US"
"948","US"
"949","US"
"950","US"
"951","US"
"952","US"
"953","US"
"954","US"
"955","US"
"956","US"
"957","US"
"958","US"
"959","US"
"960","US"
"961","US"
"962","US"
"963","US"
"964","US"
"965","US"
"966","US"
"967","US"
"968","US"
"969","US"
"970","US"
"971","US"
"972","US"
"973","US"
"974","US"
"975","US"
"976","US"
"977","US"
"978","US"
"979","US"
"980","US"
"981","US"
"982","US"
"983","US"
"984","US"
"985","US"
"986","US"
"987","US"
"988","US"
"989","US"
"990","US"
"991","US"
"992","US"
"993","US"
"994","US"
"995","US"
"996","US"
"997","US"
"998","US"
"999","US"
"1000","US"
"1001","US"
"1002","US"
"1003","US"
"1004","US"
"1005","US"
"1006","US"
"1007","US"
"1008","US"
"1009","US"
"1010","US"
"1011","US"
"1012","US"
"1013","US"
"1014","US"
"1015","US"
"1016","US"
"1017","US"
"1018","US"
"1019","US"
"1020","US"
"1021","US"
"1022","US"
"1023","US"
"1024","US"
"1025","US"
"1026","US"
"1027","US"
"1028","US"
"1029","US"
"1030","US"
"1031","US"
"1032","US"
"1033","US"
"1034","US"
"1035","US"
"1036","US"
"1037","US"
"1038","US"
"1039","US"
"1040","US"
"1041","US"
"1042","US"
"1043","US"
"1044","US"
"1045","US"
"1046","US"
"1047","US"
"1048","US"
"1049","US"
"1050","US"
"1051","US"
"1052","US"
"1053","US"
"1054","US"
"1055","US"
"1056","US"
"1057","US"
"1058","US"
"1059","US"
"1060","US"
"1061","US"
"1062","US"
"1063","US"
"1064","US"
"1065","US"
"1066","US"
"1067","US"
"1068","US"
"1069","US"
"1070","US"
"1071","US"
"1072","US"
"1073","US"
"1074","US"
"1075","US"
"1076","US"
"1077","US"
"1078","US"
"1079","US"
"1080","US"
"1081","US"
"1082","US"
"1083","US"
"1084","US"
"1085","US"
"1086","US"
"1087","US"
"1088","US"
"1089","US"
"1090","US"
"1091","US"
"1092","US"
"1093","US"
"1094","US"
"1095","US"
"1096","US"
"1097","US"
"1098","US"
"1099","US"
"1100","US"
"1101","US"
"1102","US"
"1103","US"
"1104","US"
"1105","US"
"1106","US"
"1107","US"
"1108","US"
"1109","US"
"1110","US"
"1111","US"
"1112","US"
"1113","US"
"1114","US"
"1115","US"
"1116","US"
"1117","US"
"1118","US"
"1119","US"
"1120","US"
"1121","US"
"1122","US"
"1123","US"
"1124","US"
"1125","US"
"1126","US"
"1127","US"
"1128","US"
"1129","US"
"1130","US"
"1131","US"
"1132","US"
"1133","US"
"1134","US"
"1135","US"
"1136","US"
"1137","US"
"1138","US"
"1139","US"
"1140","US"
"1141","US"
"1142","US"
"1143","US"
"1144","US"
"1145","US"
"1146","US"
"1147","US"
"1148","US"
"1149","US"
"1150","US"
"1151","US"
"1152","US"
"1153","US"
"1154","US"
"1155","US"
"1156","US"
"1157","US"
"1158","US"
"1159","US"
"1160","US"
"1161","US"
"1162","US"
"1163","US"
"1164","US"
"1165","US"
"1166","US"
"1167","US"
"1168","US"
"1169","US"
"1170","US"
"1171","US"
"1172","US"
"1173","US"
"1174","US"
"1175","US"
"1176","US"
"1177","US"
"1178","US"
"1179","US"
"1180","US"
"1181","US"
"1182","US"
"1183","US"
"1184","US"
"1185","US"
"1186","US"
"1187","US"
"1188","US"
"1189","US"
"1190","US"
"1191","US"
"1192","US"
"1193","US"
"1194","US"
"1195","US"
"1196","US"
"1197","US"
"1198","US"
"1199","US"
"1200","US"
"1201","US"
"1202","US"
"1203","US"
"1204","US"
"1205","US"
"1206","US"
"1207","US"
"1208","US"
"1209","US"
"1210","US"
"1211","US"
"1212","US"
"1213","US"
"1214","US"
"1215","US"
"1216","US"
"1217","US"
"1218","US"
"1219","US"
"1220","US"
"1221","US"
"1222","US"
"1223","US"
"1224","US"
"1225","US"
"1226","US"
"1227","US"
"1228","US"
"1229","US"
"1230","US"
"1231","US"
"1232","US"
"1233","US"
"1234","US"
"1235","US"
"1236","US"
"1237","US"
"1238","US"
"1239","US"
"1240","US"
"1241","US"
"1242","US"
"1243","US"
"1244","US"
"1245","US"
"1246","US"
"1247","US"
"1248","US"
"1249","US"
"1250","US"
"1251","US"
"1252","US"
"1253","US"
"1254","US"
"1255","US"
"1256","US"
"1257","US"
"1258","US"
"1259","US"
"1260","US"
"1261","US"
"1262","US"
"1263","US"
"1264","US"
"1265","US"
"1266","US"
"1267","US"
"1268","US"
"1269","US"
"1270","US"
"1271","US"
"1272","US"
"1273","US"
"1274","US"
"1275","US"
"1276","US"
"1277","US"
"1278","US"
"1279","US"
"1280","US"
"1281","US"
"1282","US"
"1283","US"
"1284","US"
"1285","US"
"1286","US"
"1287","US"
"1288","US"
"1289","US"
"1290","US"
"1291","US"
"1292","US"
"1293","US"
"1294","US"
"1295","US"
"1296","US"
"1297","US"
"1298","US"
"1299","US"
"1300","US"
"1301","US"
"1302","US"
"1303","US"
"1304","US"
"1305","US"
"1306","US"
"1307","US"
"1308","US"
"1309","US"
"1310","US"
"1311","US"
"1312","US"
"1313","US"
"1314","US"
"1315","US"
"1316","US"
"1317","US"
"1318","US"
"1319","US"
"1320","US"
"1321","US"
"1322","US"
"1323","US"
"1324","US"
"1325","US"
"1326","US"
"1327","US"
"1328","US"
"1329","US"
"1330","US"
"1331","US"
"1332","US"
"1333","US"
"1334","US"
"1335","US"
"1336","US"
"1337","US"
"1338","US"
"1339","US"
"1340","US"
"1341","US"
"1342","US"
"1343","US"
"1344","US"
"1345","US"
"1346","US"
"1347","US"
"1348","US"
"1349","US"
"1350","US"
"1351","US"
"1352","US"
"1353","US"
"1354","US"
"1355","US"
"1356","US"
"1357","US"
"1358","US"
"1359","US"
"1360","US"
"1361","US"
"1362","US"
"1363","US"
"1364","US"
"1365","US"
"1366","US"
"1367","US"
"1368","US"
"1369","US"
"1370","US"
"1371","US"
"1372","US"
"1373","US"
"1374","US"
"1375","US"
"1376","US"
"1377","US"
"1378","US"
"1379","US"
"1380","US"
"1381","US"
"1382","US"
"1383","US"
"1384","US"
"1385","US"
"1386","US"
"1387","US"
"1388","US"
"1389","US"
"1390","US"
"1391","US"
"1392","US"
"1393","US"
"1394","US"
"1395","US"
"1396","US"
"1397","US"
"1398","US"
"1399","US"
"1400","US"
"1401","US"
"1402","US"
"1403","US"
"1404","US"
"1405","US"
"1406","US"
"1407","US"
"1408","US"
"1409","US"
"1410","US"
"1411","US"
"1412","US"
"1413","US"
"1414","US"
"1415","US"
"1416","US"
"1417","US"
"1418","US"
"1419","US"
"1420","US"
"1421","US"
"1422","US"
"1423","US"
"1424","US"
"1425","US"
"1426","US"
"1427","US"
"1428","US"
"1429","US"
"1430","US"
"1431","US"
"1432","US"
"1433","US"
"1434","US"
"1435","US"
"1436","US"
"1437","US"
"1438","US"
"1439","US"
"1440","US"
"1441","US"
"1442","US"
"1443","US"
"1444","US"
"1445","US"
"1446","US"
"1447","US"
"1448","US"
"1449","US"
"1450","US"
"1451","US"
"1452","US"
"1453","US"
"1454","US"
"1455","US"
"1456","US"
"1457","US"
"1458","US"
"1459","US"
"1460","US"
"1461","US"
"1462","US"
"1463","US"
"1464","US"
"1465","US"
"1466","US"
"1467","US"
"1468","US"
"1469","US"
"1470","US"
"1471","US"
"1472","US"
"1473","US"
"1474","US"
"1475","US"
"1476","US"
"1477","US"
"1478","US"
"1479","US"
"1480","US"
"1481","US"
"1482","US"
"1483","US"
"1484","US"
"1485","US"
"1486","US"
"1487","US"
"1488","US"
"1489","US"
"1490","US"
"1491","US"
"1492","US"
"1493","US"
"1494","US"
"1495","US"
"1496","US"
"1497","US"
"1498","US"
"1499","US"
"1500","US"
"1501","US"
"1502","US"
"1503","US"
"1504","US"
"1505","US"
"1506","US"
"1507","US"
"1508","US"
"1509","US"
"1510","US"
"1511","US"
"1512","US"
"1513","US"
"1514","US"
"1515","US"
"1516","US"
"1517","US"
"1518","US"
"1519","US"
"1520","US"
"1521","US"
"1522","US"
"1523","US"
"1524","US"
"1525","US"
"1526","US"
"1527","US"
"1528","US"
"1529","US"
"1530","US"
"1531","US"
"1532","US"
"1533","US"
"1534","US"
"1535","US"
"1536","US"
"1537","US"
"1538","US"
"1539","US"
"1540","US"
"1541","US"
"1542","US"
"1543","US"
"1544","US"
"1545","US"
"1546","US"
"1547","US"
"1548","US"
"1549","US"
"1550","US"
"1551","US"
"1552","US"
"1553","US"
"1554","US"
"1555","US"
"1556","US"
"1557","US"
"1558","US"
"1559","US"
"1560","US"
"1561","US"
"1562","US"
"1563","US"
"1564","US"
"1565","US"
"1566","US"
"1567","US"
"1568","US"
"1569","US"
"1570","US"
"1571","US"
"1572","US"
"1573","US"
"1574","US"
"1575","US"
"1576","US"
"1577","US"
"1578","US"
"1579","US"
"1580","US"
"1581","US"
"1582","US"
"1583","US"
"1584","US"
"1585","US"
"1586","US"
"1587","US"
"1588","US"
"1589","US"
"1590","US"
"1591","US"
"1592","US"
"1593","US"
"1594","US"
"1595","US"
"1596","US"
"1597","US"
"1598","US"
"1599","US"
"1600","US"
"1601","US"
"1602","US"
"1603","US"
"1604","US"
"1605","US"
"1606","US"
"1607","US"
"1608","US"
"1609","US"
"1610","US"
"1611","US"
"1612","US"
"1613","US"
"1614","US"
"1615","US"
"1616","US"
"1617","US"
"1618","US"
"1619","US"
"1620","US"
"1621","US"
"1622","US"
"1623","US"
"1624","US"
"1625","US"
"1626","US"
"1627","US"
"1628","US"
"1629","US"
"1630","US"
"1631","US"
"1632","US"
"1633","US"
"1634","US"
"1635","US"
"1636","US"
"1637","US"
"1638","US"
"1639","US"
"1640","US"
"1641","US"
"1642","US"
"1643","US"
"1644","US"
"1645","US"
"1646","US"
"1647","US"
"1648","US"
"1649","US"
"1650","US"
"1651","US"
"1652","US"
"1653","US"
"1654","US"
"1655","US"
"1656","US"
"1657","US"
"1658","US"
"1659","US"
"1660","US"
"1661","US"
"1662","US"
"1663","US"
"1664","US"
"1665","US"
"1666","US"
"1667","US"
"1668","US"
"1669","US"
"1670","US"
"1671","US"
"1672","US"
"1673","US"
"1674","US"
"1675","US"
"1676","US"
"1677","US"
"1678","US"
"1679","US"
"1680","US"
"1681","US"
"1682","US"
"1683","US"
"1684","US"
"1685","US"
"1686","US"
"1687","US"
"1688","US"
"1689","US"
"1690","US"
"1691","US"
"1692","US"
"1693","US"
"1694","US"
"1695","US"
"1696","US"
"1697","US"
"1698","US"
"1699","US"
"1700","US"
"1701","US"
"1702","US"
"1703","US"
"1704","US"
"1705","US"
"1706","US"
"1707","US"
"1708","US"
"1709","US"
"1710","US"
"1711","US"
"1712","US"
"1713","US"
"1714","US"
"1715","US"
"1716","US"
"1717","US"
"1718","US"
"1719","US"
"1720","US"
"1721","US"
"1722","US"
"1723","US"
"1724","US"
"1725","US"
"1726","IT"
"1727","US"
"1728","US"
"1729","US"
"1730","US"
"1731","US"
"1732","US"
"1733","US"
"1734","US"
"1735","US"
"1736","US"
"1737","US"
"1738","US"
"1739","US"
"1740","US"
"1741","US"
"1742","US"
"1743","US"
"1744","US"
"1745","US"
"1746","US"
"1747","US"
"1748","US"
"1749","US"
"1750","US"
"1751","US"
"1752","US"
"1753","US"
"1754","US"
"1755","US"
"1756","US"
"1757","US"
"1758","US"
"1759","US"
"1760","US"
"1761","US"
"1762","US"
"1763","US"
"1764","US"
"1765","US"
"1766","US"
"1767","US"
"1768","US"
"1769","US"
"1770","US"
"1771","US"
"1772","US"
"1773","US"
"1774","US"
"1775","US"
"1776","US"
"1777","US"
"1778","US"
"1779","US"
"1780","US"
"1781","US"
"1782","US"
"1783","US"
"1784","US"
"1785","US"
"1786","US"
"1787","US"
"1788","US"
"1789","US"
"1790","US"
"1791","US"
"1792","US"
"1793","US"
"1794","US"
"1795","US"
"1796","US"
"1797","US"
"1798","US"
"1799","US"
"1800","US"
"1801","US"
"1802","US"
"1803","US"
"1804","US"
"1805","US"
"1806","US"
"1807","US"
"1808","US"
"1809","US"
"1810","US"
"1811","US"
"1812","US"
"1813","US"
"1814","US"
"1815","US"
"1816","US"
"1817","US"
"1818","US"
"1819","US"
"1820","US"
"1821","US"
"1822","US"
"1823","US"
"1824","US"
"1825","US"
"1826","US"
"1827","US"
"1828","US"
"1829","US"
"1830","US"
"1831","US"
"1832","US"
"1833","US"
"1834","US"
"1835","US"
"1836","US"
"1837","US"
"1838","US"
"1839","US"
"1840","US"
"1841","US"
"1842","US"
"1843","US"
"1844","US"
"1845","US"
"1846","US"
"1847","US"
"1848","US"
"1849","US"
"1850","US"
"1851","US"
"1852","US"
"1853","US"
"1854","US"
"1855","US"
"1856","US"
"1857","US"
"1858","US"
"1859","US"
"1860","US"
"1861","US"
"1862","US"
"1863","US"
"1864","US"
"1865","US"
"1866","US"
"1867","US"
"1868","US"
"1869","US"
"1870","US"
"1871","US"
"1872","US"
"1873","US"
"1874","US"
"1875","US"
"1876","US"
"1877","US"
"1878","US"
"1879","US"
"1880","US"
"1881","US"
"1882","US"
"1883","US"
"1884","US"
"1885","US"
"1886","US"
"1887","US"
"1888","US"
"1889","US"
"1890","US"
"1891","US"
"1892","US"
"1893","US"
"1894","US"
"1895","US"
"1896","US"
"1897","US"
"1898","US"
"1899","US"
"1900","US"
"1901","US"
"1902","US"
"1903","US"
"1904","US"
"1905","US"
"1906","US"
"1907","US"
"1908","US"
"1909","US"
"1910","US"
"1911","US"
"1912","US"
"1913","US"
"1914","US"
"1915","US"
"1916","US"
"1917","US"
"1918","US"
"1919","US"
"1920","US"
"1921","US"
"1922","US"
"1923","US"
"1924","IT"
"1925","US"
"1926","US"
"1927","US"
"1928","US"
"1929","US"
"1930","US"
"1931","US"
"1932","US"
"1933","US"
"1934","US"
"1935","US"
"1936","US"
"1937","US"
"1938","US"
"1939","US"
"1940","US"
"1941","US"
"1942","US"
"1943","US"
"1944","US"
"1945","US"
"1946","US"
"1947","US"
"1948","US"
"1949","US"
"1950","US"
"1951","US"
"1952","US"
"1953","US"
"1954","US"
"1955","US"
"1956","US"
"1957","US"
"1958","US"
"1959","US"
"1960","US"
"1961","US"
"1962","US"
"1963","US"
"1964","US"
"1965","US"
"1966","US"
"1967","US"
"1968","US"
"1969","US"
"1970","US"
"1971","US"
"1972","US"
"1973","US"
"1974","US"
"1975","US"
"1976","US"
"1977","US"
"1978","US"
"1979","US"
"1980","US"
"1981","US"
"1982","US"
"1983","US"
"1984","US"
"1985","US"
"1986","US"
"1987","US"
"1988","US"
"1989","US"
"1990","US"
"1991","US"
"1992","US"
"1993","US"
"1994","US"
"1995","US"
"1996","US"
"1997","US"
"1998","US"
"1999","US"
"2000","US"
"2001","US"
"2002","US"
"2003","US"
"2004","US"
"2005","US"
"2006","US"
"2007","US"
"2008","US"
"2009","US"
"2010","US"
"2011","US"
"2012","US"
"2013","US"
"2014","US"
"2015","US"
"2016","US"
"2017","US"
"2018","US"
"2019","US"
"2020","US"
"2021","US"
"2022","US"
"2023","US"
"2024","US"
"2025","US"
"2026","US"
"2027","US"
"2028","US"
"2029","US"
"2030","US"
"2031","US"
"2032","US"
"2033","US"
"2034","US"
"2035","US"
"2036","US"
"2037","US"
"2038","US"
"2039","US"
"2040","US"
"2041","US"
"2042","US"
"2043","US"
"2044","US"
"2045","US"
"2046","US"
"2047","US"
"2048","US"
"2049","US"
"2050","US"
"2051","US"
"2052","US"
"2053","US"
"2054","US"
"2055","US"
"2056","US"
"2057","US"
"2058","US"
"2059","US"
"2060","US"
"2061","US"
"2062","US"
"2063","US"
"2064","US"
"2065","US"
"2066","US"
"2067","US"
"2068","US"
"2069","US"
"2070","US"
"2071","US"
"2072","US"
"2073","US"
"2074","US"
"2075","US"
"2076","US"
"2077","US"
"2078","US"
"2079","US"
"2080","US"
"2081","US"
"2082","US"
"2083","US"
"2084","US"
"2085","US"
"2086","US"
"2087","US"
"2088","US"
"2089","US"
"2090","US"
"2091","US"
"2092","US"
"2093","US"
"2094","US"
"2095","US"
"2096","US"
"2097","US"
"2098","US"
"2099","US"
"2100","US"
"2101","US"
"2102","US"
"2103","US"
"2104","US"
"2105","US"
"2106","US"
"2107","US"
"2108","US"
"2109","US"
"2110","US"
"2111","US"
"2112","US"
"2113","US"
"2114","US"
"2115","US"
"2116","US"
"2117","US"
"2118","US"
"2119","US"
"2120","US"
"2121","US"
"2122","US"
"2123","US"
"2124","US"
"2125","US"
"2126","US"
"2127","US"
"2128","US"
"2129","US"
"2130","US"
"2131","US"
"2132","US"
"2133","US"
"2134","US"
"2135","US"
"2136","US"
"2137","US"
"2138","US"
"2139","US"
"2140","US"
